contig  chromosome
ML169790.1	NW_022591318.1
ML169791.1	NW_022591326.1
ML169792.1	NW_022591328.1
ML169793.1	NW_022591329.1
ML169794.1	NW_022591330.1
ML169795.1	NW_022591345.1
ML169796.1	NW_022591357.1
ML169797.1	NW_022591364.1
ML169798.1	NW_022591365.1
ML169799.1	NW_022591375.1
ML169800.1	NW_022591385.1
ML169801.1	NW_022591397.1
ML169802.1	NW_022591410.1
ML169803.1	NW_022591425.1
ML169804.1	NW_022591426.1
ML169805.1	NW_022591427.1
ML169806.1	NW_022591437.1
ML169807.1	NW_022591460.1
ML169808.1	NW_022591462.1
ML169809.1	NW_022591473.1
ML169810.1	NW_022591478.1
ML169811.1	NW_022591487.1
ML169812.1	NW_022591490.1
ML169813.1	NW_022591498.1
ML169814.1	NW_022591501.1
ML169815.1	NW_022591508.1
ML169816.1	NW_022591509.1
ML169817.1	NW_022591510.1
ML169818.1	NW_022591513.1
ML169819.1	NW_022591514.1
ML169820.1	NW_022591537.1
ML169821.1	NW_022591561.1
ML169822.1	NW_022591568.1
ML169823.1	NW_022591579.1
ML169824.1	NW_022591581.1
ML169825.1	NW_022591589.1
ML169826.1	NW_022591595.1
ML169827.1	NW_022591599.1
ML169828.1	NW_022591605.1
ML169829.1	NW_022591607.1
ML169830.1	NW_022591613.1
ML169831.1	NW_022591623.1
ML169832.1	NW_022591624.1
ML169833.1	NW_022591626.1
ML169834.1	NW_022591627.1
ML169835.1	NW_022591665.1
ML169836.1	NW_022591668.1
ML169837.1	NW_022591669.1
ML169838.1	NW_022591681.1
ML169839.1	NW_022591705.1
ML169840.1	NW_022591738.1
ML169841.1	NW_022591744.1
ML169842.1	NW_022591746.1
ML169843.1	NW_022591747.1
ML169844.1	NW_022591793.1
ML169845.1	NW_022591795.1
ML169846.1	NW_022591796.1
ML169847.1	NW_022591818.1
ML169848.1	NW_022591820.1
ML169849.1	NW_022591825.1
ML169850.1	NW_022591831.1
ML169851.1	NW_022591834.1
ML169852.1	NW_022591869.1
ML169853.1	NW_022591870.1
ML169854.1	NW_022591873.1
ML169855.1	NW_022591881.1
ML169856.1	NW_022591891.1
ML169857.1	NW_022591895.1
ML169858.1	NW_022591898.1
ML169859.1	NW_022591904.1
ML169860.1	NW_022591907.1
ML169861.1	NW_022591919.1
ML169862.1	NW_022591920.1
ML169863.1	NW_022591925.1
ML169864.1	NW_022591944.1
ML169865.1	NW_022591952.1
ML169866.1	NW_022591963.1
ML169867.1	NW_022591977.1
ML169868.1	NW_022591986.1
ML169869.1	NW_022591989.1
ML169870.1	NW_022591990.1
ML169871.1	NW_022592002.1
ML169872.1	NW_022592003.1
ML169873.1	NW_022592004.1
ML169874.1	NW_022592012.1
ML169875.1	NW_022592018.1
ML169876.1	NW_022592024.1
ML169877.1	NW_022592025.1
ML169878.1	NW_022592031.1
ML169879.1	NW_022592062.1
ML169880.1	NW_022592077.1
ML169881.1	NW_022592083.1
ML169882.1	NW_022592084.1
ML169883.1	NW_022592094.1
ML169884.1	NW_022592112.1
ML169885.1	NW_022592121.1
ML169886.1	NW_022592128.1
ML169887.1	NW_022592159.1
ML169888.1	NW_022592164.1
ML169889.1	NW_022592185.1
ML169890.1	NW_022592212.1
ML169891.1	NW_022592216.1
ML169892.1	NW_022592226.1
ML169893.1	NW_022592227.1
ML169894.1	NW_022592232.1
ML169895.1	NW_022592248.1
ML169896.1	NW_022592249.1
ML169897.1	NW_022592253.1
ML169898.1	NW_022592259.1
ML169899.1	NW_022592293.1
ML169900.1	NW_022592294.1
ML169901.1	NW_022592331.1
ML169902.1	NW_022592332.1
ML169903.1	NW_022592334.1
ML169904.1	NW_022592355.1
ML169905.1	NW_022592357.1
ML169906.1	NW_022592362.1
ML169907.1	NW_022592364.1
ML169908.1	NW_022592386.1
ML169909.1	NW_022592387.1
ML169910.1	NW_022592392.1
ML169911.1	NW_022592394.1
ML169912.1	NW_022592402.1
ML169913.1	NW_022592421.1
ML169914.1	NW_022592442.1
ML169915.1	NW_022592457.1
ML169916.1	NW_022592481.1
ML169917.1	NW_022592485.1
ML169918.1	NW_022592489.1
ML169919.1	NW_022592494.1
ML169920.1	NW_022592498.1
ML169921.1	NW_022592509.1
ML169922.1	NW_022592518.1
ML169923.1	NW_022592520.1
ML169924.1	NW_022592522.1
ML169925.1	NW_022592538.1
ML169926.1	NW_022592539.1
ML169927.1	NW_022592547.1
ML169928.1	NW_022592549.1
ML169929.1	NW_022592550.1
ML169930.1	NW_022592557.1
ML169931.1	NW_022592584.1
ML169932.1	NW_022592585.1
ML169933.1	NW_022592627.1
ML169934.1	NW_022592633.1
ML169935.1	NW_022592636.1
ML169936.1	NW_022592637.1
ML169937.1	NW_022592642.1
ML169938.1	NW_022592643.1
ML169939.1	NW_022592647.1
ML169940.1	NW_022592653.1
ML169941.1	NW_022592683.1
