contig  chromosome
RXNX01017951	NW_022591922.1
RXNX01017952	NW_022591923.1
RXNX01017953	NW_022591924.1
RXNX01017956	NW_022591926.1
RXNX01017957	NW_022591927.1
RXNX01017958	NW_022591928.1
RXNX01017959	NW_022591929.1
RXNX01017960	NW_022591930.1
RXNX01017961	NW_022591931.1
RXNX01017962	NW_022591932.1
RXNX01017963	NW_022591933.1
RXNX01017964	NW_022591934.1
RXNX01017965	NW_022591935.1
RXNX01017966	NW_022591936.1
RXNX01017967	NW_022591937.1
RXNX01017968	NW_022591938.1
RXNX01017969	NW_022591939.1
RXNX01017970	NW_022591940.1
RXNX01017971	NW_022591941.1
RXNX01017972	NW_022591942.1
RXNX01017973	NW_022591943.1
RXNX01017976	NW_022591945.1
RXNX01017977	NW_022591946.1
RXNX01017978	NW_022591947.1
RXNX01017979	NW_022591948.1
RXNX01017980	NW_022591949.1
RXNX01017981	NW_022591950.1
RXNX01017982	NW_022591951.1
RXNX01017985	NW_022591953.1
RXNX01017986	NW_022591954.1
RXNX01017987	NW_022591955.1
RXNX01017988	NW_022591956.1
RXNX01017989	NW_022591957.1
RXNX01017990	NW_022591958.1
RXNX01017991	NW_022591959.1
RXNX01017992	NW_022591960.1
RXNX01017993	NW_022591961.1
RXNX01017994	NW_022591962.1
RXNX01017997	NW_022591964.1
RXNX01017998	NW_022591965.1
RXNX01017999	NW_022591966.1
RXNX01018000	NW_022591967.1
RXNX01018001	NW_022591968.1
RXNX01018002	NW_022591969.1
RXNX01018003	NW_022591970.1
RXNX01018004	NW_022591971.1
RXNX01018005	NW_022591972.1
RXNX01018006	NW_022591973.1
RXNX01018007	NW_022591974.1
RXNX01018008	NW_022591975.1
RXNX01018009	NW_022591976.1
RXNX01018012	NW_022591978.1
RXNX01018013	NW_022591979.1
RXNX01018014	NW_022591980.1
RXNX01018015	NW_022591981.1
RXNX01018016	NW_022591982.1
RXNX01018017	NW_022591983.1
RXNX01018018	NW_022591984.1
RXNX01018019	NW_022591985.1
RXNX01018022	NW_022591987.1
RXNX01018023	NW_022591988.1
RXNX01018028	NW_022591991.1
RXNX01018029	NW_022591992.1
RXNX01018030	NW_022591993.1
RXNX01018031	NW_022591994.1
RXNX01018032	NW_022591995.1
RXNX01018033	NW_022591996.1
RXNX01018034	NW_022591997.1
RXNX01018035	NW_022591998.1
RXNX01018036	NW_022591999.1
RXNX01018037	NW_022592000.1
RXNX01018038	NW_022592001.1
RXNX01018047	NW_022592005.1
RXNX01018048	NW_022592006.1
RXNX01018049	NW_022592007.1
RXNX01018050	NW_022592008.1
RXNX01018051	NW_022592009.1
RXNX01018052	NW_022592010.1
RXNX01018053	NW_022592011.1
RXNX01018056	NW_022592013.1
RXNX01018057	NW_022592014.1
RXNX01018058	NW_022592015.1
RXNX01018059	NW_022592016.1
RXNX01018060	NW_022592017.1
RXNX01018063	NW_022592019.1
RXNX01018064	NW_022592020.1
RXNX01018065	NW_022592021.1
RXNX01018066	NW_022592022.1
RXNX01018067	NW_022592023.1
RXNX01018072	NW_022592026.1
RXNX01018073	NW_022592027.1
RXNX01018074	NW_022592028.1
RXNX01018075	NW_022592029.1
RXNX01018076	NW_022592030.1
RXNX01018079	NW_022592032.1
RXNX01018080	NW_022592033.1
RXNX01018081	NW_022592034.1
RXNX01018082	NW_022592035.1
RXNX01018083	NW_022592036.1
RXNX01018084	NW_022592037.1
RXNX01018085	NW_022592038.1
RXNX01018086	NW_022592039.1
RXNX01018087	NW_022592040.1
RXNX01018088	NW_022592041.1
RXNX01018089	NW_022592042.1
RXNX01018090	NW_022592043.1
RXNX01018091	NW_022592044.1
RXNX01018092	NW_022592045.1
RXNX01018093	NW_022592046.1
RXNX01018094	NW_022592047.1
RXNX01018095	NW_022592048.1
RXNX01018096	NW_022592049.1
RXNX01018097	NW_022592050.1
RXNX01018098	NW_022592051.1
RXNX01018099	NW_022592052.1
RXNX01018100	NW_022592053.1
RXNX01018101	NW_022592054.1
RXNX01018102	NW_022592055.1
RXNX01018103	NW_022592056.1
RXNX01018104	NW_022592057.1
RXNX01018105	NW_022592058.1
RXNX01018106	NW_022592059.1
RXNX01018107	NW_022592060.1
RXNX01018108	NW_022592061.1
RXNX01018111	NW_022592063.1
RXNX01018112	NW_022592064.1
RXNX01018113	NW_022592065.1
RXNX01018114	NW_022592066.1
RXNX01018115	NW_022592067.1
RXNX01018116	NW_022592068.1
RXNX01018117	NW_022592069.1
RXNX01018118	NW_022592070.1
RXNX01018119	NW_022592071.1
RXNX01018120	NW_022592072.1
RXNX01018121	NW_022592073.1
RXNX01018122	NW_022592074.1
RXNX01018123	NW_022592075.1
RXNX01018124	NW_022592076.1
RXNX01018127	NW_022592078.1
RXNX01018128	NW_022592079.1
RXNX01018129	NW_022592080.1
RXNX01018130	NW_022592081.1
RXNX01018131	NW_022592082.1
RXNX01018136	NW_022592085.1
RXNX01018137	NW_022592086.1
RXNX01018138	NW_022592087.1
RXNX01018139	NW_022592088.1
RXNX01018140	NW_022592089.1
RXNX01018141	NW_022592090.1
RXNX01018142	NW_022592091.1
RXNX01018143	NW_022592092.1
RXNX01018144	NW_022592093.1
RXNX01018147	NW_022592095.1
RXNX01018148	NW_022592096.1
RXNX01018149	NW_022592097.1
RXNX01018150	NW_022592098.1
RXNX01018151	NW_022592099.1
RXNX01018152	NW_022592100.1
RXNX01018153	NW_022592101.1
RXNX01018154	NW_022592102.1
RXNX01018155	NW_022592103.1
RXNX01018156	NW_022592104.1
RXNX01018157	NW_022592105.1
RXNX01018158	NW_022592106.1
RXNX01018159	NW_022592107.1
RXNX01018160	NW_022592108.1
RXNX01018161	NW_022592109.1
RXNX01018162	NW_022592110.1
RXNX01018163	NW_022592111.1
RXNX01018167	NW_022592113.1
RXNX01018168	NW_022592114.1
RXNX01018169	NW_022592115.1
RXNX01018170	NW_022592116.1
RXNX01018171	NW_022592117.1
RXNX01018172	NW_022592118.1
RXNX01018173	NW_022592119.1
RXNX01018174	NW_022592120.1
RXNX01018177	NW_022592122.1
RXNX01018178	NW_022592123.1
RXNX01018179	NW_022592124.1
RXNX01018180	NW_022592125.1
RXNX01018181	NW_022592126.1
RXNX01018182	NW_022592127.1
RXNX01018185	NW_022592129.1
RXNX01018186	NW_022592130.1
RXNX01018187	NW_022592131.1
RXNX01018188	NW_022592132.1
RXNX01018189	NW_022592133.1
RXNX01018190	NW_022592134.1
RXNX01018191	NW_022592135.1
RXNX01018192	NW_022592136.1
RXNX01018193	NW_022592137.1
RXNX01018194	NW_022592138.1
RXNX01018195	NW_022592139.1
RXNX01018196	NW_022592140.1
RXNX01018197	NW_022592141.1
RXNX01018198	NW_022592142.1
RXNX01018199	NW_022592143.1
RXNX01018200	NW_022592144.1
RXNX01018201	NW_022592145.1
RXNX01018202	NW_022592146.1
RXNX01018203	NW_022592147.1
RXNX01018204	NW_022592148.1
RXNX01018205	NW_022592149.1
RXNX01018206	NW_022592150.1
RXNX01018207	NW_022592151.1
RXNX01018208	NW_022592152.1
RXNX01018209	NW_022592153.1
RXNX01018210	NW_022592154.1
RXNX01018211	NW_022592155.1
RXNX01018212	NW_022592156.1
RXNX01018213	NW_022592157.1
RXNX01018214	NW_022592158.1
RXNX01018217	NW_022592160.1
RXNX01018218	NW_022592161.1
RXNX01018219	NW_022592162.1
RXNX01018220	NW_022592163.1
RXNX01018223	NW_022592165.1
RXNX01018224	NW_022592166.1
RXNX01018225	NW_022592167.1
RXNX01018226	NW_022592168.1
RXNX01018227	NW_022592169.1
RXNX01018228	NW_022592170.1
RXNX01018229	NW_022592171.1
RXNX01018230	NW_022592172.1
RXNX01018231	NW_022592173.1
RXNX01018232	NW_022592174.1
RXNX01018233	NW_022592175.1
RXNX01018234	NW_022592176.1
RXNX01018235	NW_022592177.1
RXNX01018236	NW_022592178.1
RXNX01018237	NW_022592179.1
RXNX01018238	NW_022592180.1
RXNX01018239	NW_022592181.1
RXNX01018240	NW_022592182.1
RXNX01018241	NW_022592183.1
RXNX01018242	NW_022592184.1
RXNX01018246	NW_022592186.1
RXNX01018247	NW_022592187.1
RXNX01018248	NW_022592188.1
RXNX01018249	NW_022592189.1
RXNX01018250	NW_022592190.1
RXNX01018251	NW_022592191.1
RXNX01018252	NW_022592192.1
RXNX01018253	NW_022592193.1
RXNX01018254	NW_022592194.1
RXNX01018255	NW_022592195.1
RXNX01018256	NW_022592196.1
RXNX01018257	NW_022592197.1
RXNX01018258	NW_022592198.1
RXNX01018259	NW_022592199.1
RXNX01018260	NW_022592200.1
RXNX01018261	NW_022592201.1
RXNX01018262	NW_022592202.1
RXNX01018263	NW_022592203.1
RXNX01018264	NW_022592204.1
RXNX01018265	NW_022592205.1
RXNX01018266	NW_022592206.1
RXNX01018267	NW_022592207.1
RXNX01018268	NW_022592208.1
RXNX01018269	NW_022592209.1
RXNX01018270	NW_022592210.1
RXNX01018271	NW_022592211.1
RXNX01018274	NW_022592213.1
RXNX01018275	NW_022592214.1
RXNX01018276	NW_022592215.1
RXNX01018279	NW_022592217.1
RXNX01018280	NW_022592218.1
RXNX01018281	NW_022592219.1
RXNX01018282	NW_022592220.1
RXNX01018283	NW_022592221.1
RXNX01018284	NW_022592222.1
RXNX01018285	NW_022592223.1
RXNX01018286	NW_022592224.1
RXNX01018287	NW_022592225.1
RXNX01018292	NW_022592228.1
RXNX01018293	NW_022592229.1
RXNX01018294	NW_022592230.1
RXNX01018295	NW_022592231.1
RXNX01018298	NW_022592233.1
RXNX01018299	NW_022592234.1
RXNX01018300	NW_022592235.1
RXNX01018301	NW_022592236.1
RXNX01018302	NW_022592237.1
RXNX01018303	NW_022592238.1
RXNX01018304	NW_022592239.1
RXNX01018305	NW_022592240.1
RXNX01018306	NW_022592241.1
RXNX01018307	NW_022592242.1
RXNX01018308	NW_022592243.1
RXNX01018309	NW_022592244.1
RXNX01018310	NW_022592245.1
RXNX01018311	NW_022592246.1
RXNX01018312	NW_022592247.1
RXNX01018318	NW_022592250.1
RXNX01018319	NW_022592251.1
RXNX01018320	NW_022592252.1
RXNX01018323	NW_022592254.1
RXNX01018324	NW_022592255.1
RXNX01018325	NW_022592256.1
RXNX01018326	NW_022592257.1
RXNX01018327	NW_022592258.1
RXNX01018330	NW_022592260.1
RXNX01018331	NW_022592261.1
RXNX01018332	NW_022592262.1
RXNX01018333	NW_022592263.1
RXNX01018334	NW_022592264.1
RXNX01018335	NW_022592265.1
RXNX01018336	NW_022592266.1
RXNX01018337	NW_022592267.1
RXNX01018338	NW_022592268.1
RXNX01018339	NW_022592269.1
RXNX01018340	NW_022592270.1
RXNX01018341	NW_022592271.1
RXNX01018342	NW_022592272.1
RXNX01018343	NW_022592273.1
RXNX01018344	NW_022592274.1
RXNX01018345	NW_022592275.1
RXNX01018346	NW_022592276.1
RXNX01018347	NW_022592277.1
RXNX01018348	NW_022592278.1
RXNX01018349	NW_022592279.1
RXNX01018350	NW_022592280.1
RXNX01018351	NW_022592281.1
RXNX01018352	NW_022592282.1
RXNX01018353	NW_022592283.1
RXNX01018354	NW_022592284.1
RXNX01018355	NW_022592285.1
RXNX01018356	NW_022592286.1
RXNX01018357	NW_022592287.1
RXNX01018358	NW_022592288.1
RXNX01018359	NW_022592289.1
RXNX01018360	NW_022592290.1
RXNX01018361	NW_022592291.1
RXNX01018362	NW_022592292.1
RXNX01018367	NW_022592295.1
RXNX01018368	NW_022592296.1
RXNX01018369	NW_022592297.1
RXNX01018370	NW_022592298.1
RXNX01018371	NW_022592299.1
RXNX01018372	NW_022592300.1
RXNX01018373	NW_022592301.1
RXNX01018374	NW_022592302.1
RXNX01018375	NW_022592303.1
RXNX01018376	NW_022592304.1
RXNX01018377	NW_022592305.1
RXNX01018378	NW_022592306.1
RXNX01018379	NW_022592307.1
RXNX01018380	NW_022592308.1
RXNX01018381	NW_022592309.1
RXNX01018382	NW_022592310.1
RXNX01018383	NW_022592311.1
RXNX01018384	NW_022592312.1
RXNX01018385	NW_022592313.1
RXNX01018386	NW_022592314.1
RXNX01018387	NW_022592315.1
RXNX01018388	NW_022592316.1
RXNX01018389	NW_022592317.1
RXNX01018390	NW_022592318.1
RXNX01018391	NW_022592319.1
RXNX01018392	NW_022592320.1
RXNX01018393	NW_022592321.1
RXNX01018394	NW_022592322.1
RXNX01018395	NW_022592323.1
RXNX01018396	NW_022592324.1
RXNX01018397	NW_022592325.1
RXNX01018398	NW_022592326.1
RXNX01018399	NW_022592327.1
RXNX01018400	NW_022592328.1
RXNX01018401	NW_022592329.1
RXNX01018402	NW_022592330.1
RXNX01018408	NW_022592333.1
RXNX01018412	NW_022592335.1
RXNX01018413	NW_022592336.1
RXNX01018414	NW_022592337.1
RXNX01018415	NW_022592338.1
RXNX01018416	NW_022592339.1
RXNX01018417	NW_022592340.1
RXNX01018418	NW_022592341.1
RXNX01018419	NW_022592342.1
RXNX01018420	NW_022592343.1
RXNX01018421	NW_022592344.1
RXNX01018422	NW_022592345.1
RXNX01018423	NW_022592346.1
RXNX01018424	NW_022592347.1
RXNX01018425	NW_022592348.1
RXNX01018426	NW_022592349.1
RXNX01018427	NW_022592350.1
RXNX01018428	NW_022592351.1
RXNX01018429	NW_022592352.1
RXNX01018430	NW_022592353.1
RXNX01018431	NW_022592354.1
RXNX01018434	NW_022592356.1
RXNX01018437	NW_022592358.1
RXNX01018438	NW_022592359.1
RXNX01018439	NW_022592360.1
RXNX01018440	NW_022592361.1
RXNX01018444	NW_022592363.1
RXNX01018448	NW_022592365.1
RXNX01018449	NW_022592366.1
RXNX01018450	NW_022592367.1
RXNX01018451	NW_022592368.1
RXNX01018452	NW_022592369.1
RXNX01018453	NW_022592370.1
RXNX01018454	NW_022592371.1
RXNX01018455	NW_022592372.1
RXNX01018456	NW_022592373.1
RXNX01018457	NW_022592374.1
RXNX01018458	NW_022592375.1
RXNX01018459	NW_022592376.1
RXNX01018460	NW_022592377.1
RXNX01018461	NW_022592378.1
RXNX01018462	NW_022592379.1
RXNX01018463	NW_022592380.1
RXNX01018464	NW_022592381.1
RXNX01018465	NW_022592382.1
RXNX01018466	NW_022592383.1
RXNX01018467	NW_022592384.1
RXNX01018468	NW_022592385.1
RXNX01018474	NW_022592388.1
RXNX01018475	NW_022592389.1
RXNX01018476	NW_022592390.1
RXNX01018477	NW_022592391.1
RXNX01018480	NW_022592393.1
RXNX01018483	NW_022592395.1
RXNX01018484	NW_022592396.1
RXNX01018485	NW_022592397.1
RXNX01018486	NW_022592398.1
RXNX01018487	NW_022592399.1
RXNX01018488	NW_022592400.1
RXNX01018489	NW_022592401.1
RXNX01018492	NW_022592403.1
RXNX01018493	NW_022592404.1
RXNX01018494	NW_022592405.1
RXNX01018495	NW_022592406.1
RXNX01018496	NW_022592407.1
RXNX01018497	NW_022592408.1
RXNX01018498	NW_022592409.1
RXNX01018499	NW_022592410.1
RXNX01018500	NW_022592411.1
RXNX01018501	NW_022592412.1
RXNX01018502	NW_022592413.1
RXNX01018503	NW_022592414.1
RXNX01018504	NW_022592415.1
RXNX01018505	NW_022592416.1
RXNX01018506	NW_022592417.1
RXNX01018507	NW_022592418.1
RXNX01018508	NW_022592419.1
RXNX01018509	NW_022592420.1
RXNX01018512	NW_022592422.1
RXNX01018513	NW_022592423.1
RXNX01018514	NW_022592424.1
RXNX01018515	NW_022592425.1
RXNX01018516	NW_022592426.1
RXNX01018517	NW_022592427.1
RXNX01018518	NW_022592428.1
RXNX01018519	NW_022592429.1
RXNX01018520	NW_022592430.1
RXNX01018521	NW_022592431.1
RXNX01018522	NW_022592432.1
RXNX01018523	NW_022592433.1
RXNX01018524	NW_022592434.1
RXNX01018525	NW_022592435.1
RXNX01018526	NW_022592436.1
RXNX01018527	NW_022592437.1
RXNX01018528	NW_022592438.1
RXNX01018529	NW_022592439.1
RXNX01018530	NW_022592440.1
RXNX01018531	NW_022592441.1
RXNX01018534	NW_022592443.1
RXNX01018535	NW_022592444.1
RXNX01018536	NW_022592445.1
RXNX01018537	NW_022592446.1
RXNX01018538	NW_022592447.1
RXNX01018539	NW_022592448.1
RXNX01018540	NW_022592449.1
RXNX01018541	NW_022592450.1
RXNX01018542	NW_022592451.1
RXNX01018543	NW_022592452.1
RXNX01018544	NW_022592453.1
RXNX01018545	NW_022592454.1
RXNX01018546	NW_022592455.1
RXNX01018547	NW_022592456.1
RXNX01018550	NW_022592458.1
RXNX01018551	NW_022592459.1
RXNX01018552	NW_022592460.1
RXNX01018553	NW_022592461.1
RXNX01018554	NW_022592462.1
RXNX01018555	NW_022592463.1
RXNX01018556	NW_022592464.1
RXNX01018557	NW_022592465.1
RXNX01018558	NW_022592466.1
RXNX01018559	NW_022592467.1
RXNX01018560	NW_022592468.1
RXNX01018561	NW_022592469.1
RXNX01018562	NW_022592470.1
RXNX01018563	NW_022592471.1
RXNX01018564	NW_022592472.1
RXNX01018565	NW_022592473.1
RXNX01018566	NW_022592474.1
RXNX01018567	NW_022592475.1
RXNX01018568	NW_022592476.1
RXNX01018569	NW_022592477.1
RXNX01018570	NW_022592478.1
RXNX01018571	NW_022592479.1
RXNX01018572	NW_022592480.1
RXNX01018575	NW_022592482.1
RXNX01018576	NW_022592483.1
RXNX01018577	NW_022592484.1
RXNX01018580	NW_022592486.1
RXNX01018581	NW_022592487.1
RXNX01018582	NW_022592488.1
RXNX01018585	NW_022592490.1
RXNX01018586	NW_022592491.1
RXNX01018587	NW_022592492.1
RXNX01018588	NW_022592493.1
RXNX01018591	NW_022592495.1
RXNX01018592	NW_022592496.1
RXNX01018593	NW_022592497.1
RXNX01018597	NW_022592499.1
RXNX01018598	NW_022592500.1
RXNX01018599	NW_022592501.1
RXNX01018600	NW_022592502.1
RXNX01018601	NW_022592503.1
RXNX01018602	NW_022592504.1
RXNX01018603	NW_022592505.1
RXNX01018604	NW_022592506.1
RXNX01018605	NW_022592507.1
RXNX01018606	NW_022592508.1
RXNX01018609	NW_022592510.1
RXNX01018610	NW_022592511.1
RXNX01018611	NW_022592512.1
RXNX01018612	NW_022592513.1
RXNX01018613	NW_022592514.1
RXNX01018614	NW_022592515.1
RXNX01018615	NW_022592516.1
RXNX01018616	NW_022592517.1
RXNX01018619	NW_022592519.1
RXNX01018622	NW_022592521.1
RXNX01018625	NW_022592523.1
RXNX01018626	NW_022592524.1
RXNX01018627	NW_022592525.1
RXNX01018628	NW_022592526.1
RXNX01018629	NW_022592527.1
RXNX01018630	NW_022592528.1
RXNX01018631	NW_022592529.1
RXNX01018632	NW_022592530.1
RXNX01018633	NW_022592531.1
RXNX01018634	NW_022592532.1
RXNX01018635	NW_022592533.1
RXNX01018636	NW_022592534.1
RXNX01018637	NW_022592535.1
RXNX01018638	NW_022592536.1
RXNX01018639	NW_022592537.1
RXNX01018644	NW_022592540.1
RXNX01018645	NW_022592541.1
RXNX01018646	NW_022592542.1
RXNX01018647	NW_022592543.1
RXNX01018648	NW_022592544.1
RXNX01018649	NW_022592545.1
RXNX01018650	NW_022592546.1
RXNX01018653	NW_022592548.1
RXNX01018659	NW_022592551.1
RXNX01018660	NW_022592552.1
RXNX01018661	NW_022592553.1
RXNX01018662	NW_022592554.1
RXNX01018663	NW_022592555.1
RXNX01018664	NW_022592556.1
RXNX01018668	NW_022592558.1
RXNX01018669	NW_022592559.1
RXNX01018670	NW_022592560.1
RXNX01018671	NW_022592561.1
RXNX01018672	NW_022592562.1
RXNX01018673	NW_022592563.1
RXNX01018674	NW_022592564.1
RXNX01018675	NW_022592565.1
RXNX01018676	NW_022592566.1
RXNX01018677	NW_022592567.1
RXNX01018678	NW_022592568.1
RXNX01018679	NW_022592569.1
RXNX01018680	NW_022592570.1
RXNX01018681	NW_022592571.1
RXNX01018682	NW_022592572.1
RXNX01018683	NW_022592573.1
RXNX01018684	NW_022592574.1
RXNX01018685	NW_022592575.1
RXNX01018686	NW_022592576.1
RXNX01018687	NW_022592577.1
RXNX01018688	NW_022592578.1
RXNX01018689	NW_022592579.1
RXNX01018690	NW_022592580.1
RXNX01018691	NW_022592581.1
RXNX01018692	NW_022592582.1
RXNX01018693	NW_022592583.1
RXNX01018698	NW_022592586.1
RXNX01018699	NW_022592587.1
RXNX01018700	NW_022592588.1
RXNX01018701	NW_022592589.1
RXNX01018702	NW_022592590.1
RXNX01018703	NW_022592591.1
RXNX01018704	NW_022592592.1
RXNX01018705	NW_022592593.1
RXNX01018706	NW_022592594.1
RXNX01018707	NW_022592595.1
RXNX01018708	NW_022592596.1
RXNX01018709	NW_022592597.1
RXNX01018710	NW_022592598.1
RXNX01018711	NW_022592599.1
RXNX01018712	NW_022592600.1
RXNX01018713	NW_022592601.1
RXNX01018714	NW_022592602.1
RXNX01018715	NW_022592603.1
RXNX01018716	NW_022592604.1
RXNX01018717	NW_022592605.1
RXNX01018718	NW_022592606.1
RXNX01018719	NW_022592607.1
RXNX01018720	NW_022592608.1
RXNX01018721	NW_022592609.1
RXNX01018722	NW_022592610.1
RXNX01018723	NW_022592611.1
RXNX01018724	NW_022592612.1
RXNX01018725	NW_022592613.1
RXNX01018726	NW_022592614.1
RXNX01018727	NW_022592615.1
RXNX01018728	NW_022592616.1
RXNX01018729	NW_022592617.1
RXNX01018730	NW_022592618.1
RXNX01018731	NW_022592619.1
RXNX01018732	NW_022592620.1
RXNX01018733	NW_022592621.1
RXNX01018734	NW_022592622.1
RXNX01018735	NW_022592623.1
RXNX01018736	NW_022592624.1
RXNX01018737	NW_022592625.1
RXNX01018738	NW_022592626.1
RXNX01018741	NW_022592628.1
RXNX01018742	NW_022592629.1
RXNX01018743	NW_022592630.1
RXNX01018744	NW_022592631.1
RXNX01018745	NW_022592632.1
RXNX01018749	NW_022592634.1
RXNX01018750	NW_022592635.1
RXNX01018755	NW_022592638.1
RXNX01018756	NW_022592639.1
RXNX01018757	NW_022592640.1
RXNX01018758	NW_022592641.1
RXNX01018763	NW_022592644.1
RXNX01018764	NW_022592645.1
RXNX01018765	NW_022592646.1
RXNX01018768	NW_022592648.1
RXNX01018769	NW_022592649.1
RXNX01018770	NW_022592650.1
RXNX01018771	NW_022592651.1
RXNX01018772	NW_022592652.1
RXNX01018776	NW_022592654.1
RXNX01018777	NW_022592655.1
RXNX01018778	NW_022592656.1
RXNX01018779	NW_022592657.1
RXNX01018780	NW_022592658.1
RXNX01018781	NW_022592659.1
RXNX01018782	NW_022592660.1
RXNX01018783	NW_022592661.1
RXNX01018784	NW_022592662.1
RXNX01018785	NW_022592663.1
RXNX01018786	NW_022592664.1
RXNX01018787	NW_022592665.1
RXNX01018788	NW_022592666.1
RXNX01018789	NW_022592667.1
RXNX01018790	NW_022592668.1
RXNX01018791	NW_022592669.1
RXNX01018792	NW_022592670.1
RXNX01018793	NW_022592671.1
RXNX01018794	NW_022592672.1
RXNX01018795	NW_022592673.1
RXNX01018796	NW_022592674.1
RXNX01018797	NW_022592675.1
RXNX01018798	NW_022592676.1
RXNX01018799	NW_022592677.1
RXNX01018800	NW_022592678.1
RXNX01018801	NW_022592679.1
RXNX01018802	NW_022592680.1
RXNX01018803	NW_022592681.1
RXNX01018804	NW_022592682.1
RXNX01018808	NW_022592684.1
RXNX01018809	NW_022592685.1
RXNX01018810	NW_022592686.1
RXNX01018814	NW_022592688.1
RXNX01018815	NW_022592689.1
RXNX01018816	NW_022592690.1
RXNX01018819	NW_022592692.1
RXNX01018820	NW_022592693.1
RXNX01018821	NW_022592694.1
RXNX01018822	NW_022592695.1
RXNX01018825	NW_022592697.1
RXNX01018826	NW_022592698.1
RXNX01018827	NW_022592699.1
RXNX01018828	NW_022592700.1
RXNX01018829	NW_022592701.1
RXNX01018830	NW_022592702.1
RXNX01018831	NW_022592703.1
RXNX01018832	NW_022592704.1
RXNX01018833	NW_022592705.1
RXNX01018834	NW_022592706.1
RXNX01018835	NW_022592707.1
RXNX01018836	NW_022592708.1
RXNX01018837	NW_022592709.1
RXNX01018838	NW_022592710.1
RXNX01018839	NW_022592711.1
RXNX01018842	NW_022592713.1
RXNX01018843	NW_022592714.1
RXNX01018844	NW_022592715.1
RXNX01018845	NW_022592716.1
RXNX01018846	NW_022592717.1
RXNX01018847	NW_022592718.1
RXNX01018848	NW_022592719.1
RXNX01018849	NW_022592720.1
RXNX01018850	NW_022592721.1
RXNX01018851	NW_022592722.1
RXNX01018852	NW_022592723.1
RXNX01018853	NW_022592724.1
RXNX01018854	NW_022592725.1
RXNX01018855	NW_022592726.1
RXNX01018856	NW_022592727.1
RXNX01018859	NW_022592729.1
RXNX01018860	NW_022592730.1
RXNX01018861	NW_022592731.1
RXNX01018862	NW_022592732.1
RXNX01018863	NW_022592733.1
RXNX01018864	NW_022592734.1
RXNX01018865	NW_022592735.1
RXNX01018866	NW_022592736.1
RXNX01018867	NW_022592737.1
RXNX01018868	NW_022592738.1
RXNX01018869	NW_022592739.1
RXNX01018870	NW_022592740.1
RXNX01018871	NW_022592741.1
RXNX01018872	NW_022592742.1
RXNX01018873	NW_022592743.1
RXNX01018876	NW_022592745.1
RXNX01018877	NW_022592746.1
RXNX01018880	NW_022592748.1
RXNX01018881	NW_022592749.1
RXNX01018882	NW_022592750.1
RXNX01018883	NW_022592751.1
RXNX01018886	NW_022592753.1
RXNX01018887	NW_022592754.1
RXNX01018888	NW_022592755.1
RXNX01018889	NW_022592756.1
RXNX01018890	NW_022592757.1
RXNX01018893	NW_022592759.1
RXNX01018894	NW_022592760.1
RXNX01018895	NW_022592761.1
RXNX01018896	NW_022592762.1
RXNX01018897	NW_022592763.1
RXNX01018898	NW_022592764.1
RXNX01018899	NW_022592765.1
RXNX01018900	NW_022592766.1
RXNX01018901	NW_022592767.1
RXNX01018902	NW_022592768.1
RXNX01018903	NW_022592769.1
RXNX01018904	NW_022592770.1
RXNX01018905	NW_022592771.1
RXNX01018906	NW_022592772.1
RXNX01018907	NW_022592773.1
RXNX01018908	NW_022592774.1
RXNX01018909	NW_022592775.1
RXNX01018910	NW_022592776.1
RXNX01018911	NW_022592777.1
RXNX01018912	NW_022592778.1
RXNX01018913	NW_022592779.1
RXNX01018914	NW_022592780.1
RXNX01018915	NW_022592781.1
RXNX01018916	NW_022592782.1
RXNX01018917	NW_022592783.1
RXNX01018918	NW_022592784.1
RXNX01018919	NW_022592785.1
RXNX01018920	NW_022592786.1
RXNX01018921	NW_022592787.1
RXNX01018922	NW_022592788.1
RXNX01018923	NW_022592789.1
RXNX01018924	NW_022592790.1
RXNX01018925	NW_022592791.1
RXNX01018926	NW_022592792.1
RXNX01018927	NW_022592793.1
RXNX01018928	NW_022592794.1
RXNX01018929	NW_022592795.1
RXNX01018930	NW_022592796.1
RXNX01018931	NW_022592797.1
RXNX01018932	NW_022592798.1
RXNX01018933	NW_022592799.1
RXNX01018934	NW_022592800.1
RXNX01018935	NW_022592801.1
RXNX01018936	NW_022592802.1
RXNX01018937	NW_022592803.1
RXNX01018938	NW_022592804.1
RXNX01018939	NW_022592805.1
RXNX01018940	NW_022592806.1
RXNX01018941	NW_022592807.1
RXNX01018942	NW_022592808.1
RXNX01018943	NW_022592809.1
RXNX01018944	NW_022592810.1
RXNX01018945	NW_022592811.1
RXNX01018946	NW_022592812.1
RXNX01018947	NW_022592813.1
RXNX01018948	NW_022592814.1
RXNX01018949	NW_022592815.1
RXNX01018950	NW_022592816.1
RXNX01018951	NW_022592817.1
RXNX01018952	NW_022592818.1
RXNX01018953	NW_022592819.1
RXNX01018954	NW_022592820.1
RXNX01018955	NW_022592821.1
RXNX01018958	NW_022592823.1
RXNX01018959	NW_022592824.1
RXNX01018960	NW_022592825.1
RXNX01018961	NW_022592826.1
RXNX01018962	NW_022592827.1
RXNX01018963	NW_022592828.1
RXNX01018964	NW_022592829.1
RXNX01018965	NW_022592830.1
RXNX01018966	NW_022592831.1
RXNX01018967	NW_022592832.1
RXNX01018968	NW_022592833.1
